datasetid,title,citation,DOI,licence,accessconstraint,abstract,description,contact,include,complete,theme,keyword
932,BEWREMABI dataset: Belgian Shipwreck - hotspots for Marine Biodiversity: Macrofauna in vicinity of shipwrecks,,NA,Attribution (CC BY),NA,Data was gathered during BEWREMABI project (part of SPSD-II federal science policy programme) sampling campaigns. Macrofauna was sampled in the vicinity of shipwrecks using macrofauna core + scuba.,NA,Veronique De Maersschalck,T,T,"Biology , Benthos","Biodiversiteit , Macrofauna , Scheepswrakken , Wrakken"
997,"Offshore reference stations, Norwegian/Barents Sea","The Norwegian Oil Industry Association, 2002: Offshore reference stations, Norwegian/Barents Sea. The Norwegian Oil Industry Association (OLF), Akvaplan-niva and Det Norske Veritas, Norway",NA,Attribution-NonCommercial (CC BY-NC),NA,The original dataset objective is the sampling of reference stations for large-scale annual surveys of petroleum installations.,NA,"Siri Mordal Bakke , Sabine Cochrane , Bente Jarandsen , Tor Jensen , Per Johannessen",T,T,"Benthos , Ecology - biodiversity","Benthos , Macrobenthos"
999,"Offshore ref. stations, North/Norwegian sea","The Norwegian Oil Industry Association, 2001: Offshore reference stations, North/Norwegian sea.  The Norwegian Oil Industry Association (OLF), Akvaplan-niva and Det Norske Veritas, Norway",NA,Attribution-NonCommercial (CC BY-NC),NA,The original dataset objective is the sampling of reference stations for large-scale annual surveys of petroleum installations.,NA,"Per Johannessen , Siri Mordal Bakke , Tor Jensen , Sabine Cochrane , Bente Jarandsen",T,T,"Benthos , Ecology - biodiversity","Benthos , Macrobenthos"
1355,INRAM: Benthic fauna monitoring in Belgian harbours and Belgian coastal area,"Marine Biology Section, Ugent. Belgium. INRAM. Benthic fauna monitoring- SSD - Belgian Science Policy. Available online http://www.vliz.be/projects/inram/imers.php. [accessed on ‘date’]",NA,Attribution (CC BY),,"This database contains data on population characteristics of the hyper- and epibenthos, sampled in the Scheldt estuary, Belgian coastal waters and Belgian coastal harbours.","Within the framework of the INRAM project, population characteristics of epibenthos and hyperbenthos were investigated.

The epibenthic community was sampled by means of a beam trawl. Vertebrates were sampled quantitalively, whereas invertebrates were sampled qualitatively (except for shrimps, which were also sampled quantitalively). 

The endobenthic community was sampled both quantitatively and qualitatively by means of a Van Veen grab.",,T,T,"Biology , Benthos , Bottom samples (e.g. core, dredge, grab) , Coastal studies (e.g. shores, estuaries)","Benthos , Epibenthos , Hyperbenthos , Populatiekarakteristieken"
1600,Biomôr 1 dataset. Benthic data from the Southern Irish Sea from 1989-1991,"Mackie, A.S.Y., P.G. Oliver, E.I.S. Rees, 1991: Biomôr 1 dataset. Benthic data from the Southern Irish Sea from 1989-1991. National Museum and galleries of Wales, Cardiff, UK.",NA,Attribution (CC BY),,Surveys of benthic invertebrates of the Southern Irish Sea were carried out in 1989 and 1991. Both quantitative and qualitative samples were taken for faunal and sediment analysis,NA,"E. Ivor Rees , Andrew Mackie , Graham Oliver",T,T,Benthos,Benthos
1680,Macrozoobenthos data from the southeastern North Sea in 2000,Alfred Wegener Institut für Polar- und Meeresforschung; Senckenbergische Naturforschende Gesellschaft. - Germany (2015). Macrozoobenthos data from the southeastern North Sea in 2000.,NA,Attribution (CC BY),,This dataset contains macrozoobenthos data from the southeastern North Sea from 2000.,"This work was a joint venture between AWI and Senckenberg and contributed to research for the Natura 2000 (EU Habitats Directive), Federal Agency for Nature Conservation (Vilm). The infauna data of Dogger Bank and Northern Oyster Ground were worked up by Senckenberg as a subcontractor of AWI, thus these data are jointly AWI/Senckenberg data. Epifauna were worked up together.",Alexander Schröder,T,T,Benthos,"Benthos , Data , Macrobenthos , Marine Genomics , Zoöbenthos"
1677,Amrum Bank and inner German Bight Benthos,,,,,,,,T,T,,
1681,Macrobenthos from English waters between 2000-2002,CEFAS. - UK (2015). Macrobenthos from English waters between 2000-2002.,NA,Attribution (CC BY),,This dataset contains macrobenthos data from English waters between 2000 and 2002.,"2-3 replicates were taken. Identification was done up to species level. Samples were taken by Hamon, Day or van Veen grab.",Hubert Rees,T,T,"Benthos , Ecology - biodiversity","Benthos , Macrobenthos , Zoöbenthos"
1684,Macrobenthos from the eastern English Channel in 1999 and 2001,Marine Ecological Surveys Ltd. - UK (2009). Macrobenthos from the eastern English Channel in 1999 and 2001.,NA,Attribution (CC BY),,This dataset contains macrobenthos data from the eastern English Channel from 1999 and 2001.,This dataset is a compilation of 5 individual surveys/datasets. Richard Newell acted as the data provider on behalf of a consortium of commercial aggregate dredging companies who sponsored the surveys. Together they make up the mass of closely-spaced stations in the middle of the eastern English Channel. These surveys were ‘baseline’ studies in advance of applications to commercially dredge the eastern Channel area.,Richard Newell,T,T,"Benthos , Ecology - biodiversity","Benthos , Macrobenthos , Zoöbenthos"
1686,BfG - Estuary Monitoring Programme Macrozoobenhos,"Nehring, S., 1999. BfG-Monitoring in the German North Sea estuaries: Macrozoobenthos. Federal Institute of Hydrology.",NA,Attribution (CC BY),,This dataset contains macrozoobenthos data from the BfG - Estuary Monitoring Programme.,"The programme was designed and installed by Stefan Nehring in 1995 with the aim to get more data about macrozoobenthos in German North Sea estuaries. It was installed as a long-term monitoring, however, without any statuatory regulation. Since 1995 the data are integrated in the national ""Bund Länder Messprogramm (BLMP)"".",Stefan Nehring,T,T,"Biology , Benthos","Macrobenthos , Zoöbenthos"
1779,Eastern Channel dataset,"Dewarumez J.-M. & Desroy N. - 2000. Eastern Channel dataset. Station Marine de Wimereux, France.",NA,Attribution (CC BY),Release with permission of the appropriate parties,"Data comprised a regular grid extending into the English Channel, including UK waters. In total, 15 stations were sampled for macrobenthos.",NA,Jean-Marie Dewarumez,T,T,"Benthos , Ecology - biodiversity","Biodiversiteit , Macrobenthos , Zoöbenthos"
1794,Macrobenthos from Copale - Authie,"Dewarumez, J.-M., Dauvin, J.-C. & Desroy, N - 2000. Macrobenthos from Copale - Authie. Station Biologie de Wimereux, France.",NA,Attribution (CC BY),Restrictions apply to some or all of the data,"This dataset contains macrobenthos data from the French Sector of the North Sea from 2000. Dataset in the framework of the North Sea Benthos Project, which integrated recent (1999–2002) macrobenthic infaunal and environmental data from various national sources.",NA,Nicolas Desroy,T,T,"Benthos , Ecology - biodiversity","Biodiversiteit , Macrobenthos"
1800,Macrobenthos in the Dutch Sector of the North Sea 1991-2001,"Koninklijk Nederlands Instituut voor Zeeonderzoek (Texel), National Institute for Coastal and Marine Management  (Ministery of Transport and Public Works) - 2001. Macrobenthos in the Dutch Sector of the North Sea 1991-2001.",NA,Attribution (CC BY),Restrictions apply to some or all of the data,This dataset contains macrobenthos data from the Dutch Sector of the North Sea between 1991 and 2001.,This dataset contains macrobenthos data from the Dutch Sector of the North Sea between 1991 and 2001.,Gerard Duineveld,T,T,"Benthos , Ecology - biodiversity",Macrobenthos
1801,Macrobenthos data from the Norwegian Skagerrak coast,"Oug, E. & B. Rygg (2000). Macrobenthos data from the Norwegian Skagerrak coast. Norwegian Institute for Water Research (NIVA) and Norwegian Pollution Control Authority.",NA,Attribution (CC BY),Release with permission of the appropriate parties,This dataset contains macrobenthos data from the Norwegian Skagerrak coast.,This dataset contains macrobenthos data from the Norwegian Skagerrak coast.,Eivind Oug,T,T,"Benthos , Ecology - biodiversity","Benthos , Macrobenthos , Zoöbenthos"
1852,Macrobenthos data from the Doggerbank - 2000,,,,,,,,T,T,,
1853,Macrobenthos samples collected in the Scottish waters in 2001,"Fisheries Research Service, Marine Laboratory (2015). Macrobenthos samples collected in the Scottish waters in 2001.",NA,Attribution (CC BY),Restrictions apply to some or all of the data,"75 samples collected with  a NIOZ core in 2001, in the Scottish waters.",NA,,T,T,Benthos,Macrobenthos
1855,"Macrozoobenthos from the Belgian Continental Shelf, collected in 2000","Hillewaert, H. (2000). Macrozoobenthos from the Belgian Continental Shelf, collected in 2000. Vlaamse Overheid; Beleidsdomein Landbouw en Visserij; Instituut voor Landbouw- en Visserijonderzoek; Kenniseenheid: Dier; Onderzoeksdomein Visserij, Belgium.",NA,Attribution (CC BY),Restrictions apply to some or all of the data,56 samples of macrozoobenthos collected in the Belgian part of the North Sea in 2000. Sampling device was a Van Veen grab.,NA,Hans Hillewaert,T,T,"Benthos , Ecology - biodiversity","Benthos , Macrobenthos , Zoöbenthos"
1856,Macrobenthos from the Norwegian waters,"Cochrane, S. (2001). Macrobenthos from the Norwegian waters. Akvaplan-niva, Norway.",NA,Attribution (CC BY),Restrictions apply to some or all of the data,Contains information mainly from studies around offshore oil and gas platforms in the Norwegian waters.,NA,Sabine Cochrane,T,T,Benthos,Macrobenthos
1883,Survey of North Wales and Pembrokeshire Tide Influenced Communities,"UK National Biodiversity Network, Countryside Council for Wales - Survey of North Wales and Pembrokeshire Tide Influenced Communities",NA,Attribution (CC BY),,"Marine biological surveys of seabed and shore habitats in four areas exposed to strong tidal currents around southwest and northwest Wales, made in summer 2002 and 2003.","Marine biological surveys of seabed and shore habitats in four areas exposed to strong tidal currents around southwest and northwest Wales, made in summer 2002 and 2003. Survey work focused on rocky reefs and tidal rapids, and recorded the extent, quality and composition of the biotopes and communities. The results forms the basis for CCW Contract Science Report 611. 

Tidal Rapids are a UK Biodiversity Action Plan feature and rocky Reefs are an Annex I feature under the Habitats Directive (1992). These features are of conservation importance and the data collected during this survey is used to help define conservation objectives and inform decisions regarding protection and management. 

The survey was conducted on the shore or by diving. Survey methods were based on the standard Marine Nature Conservation Review (MNCR) techniques using in-situ identification of conspicuous species and description of habitat and community characteristics. Subtidal and intertidal components of the fieldwork were carried out separately. Further details of these standard methodologies are given in MNCR Rational and Methods (Hiscock 1996). Each site survey was recorded immediately on standard MNCR recording forms. Work carried out for CCW under contract by Coastal Assessment, Liaison & Monitoring (CALM), Jon Moore.  

Geographical  coverage
<li>Menai Strait - Subtidal and intertidal
<li>Daugleddau Estuary & Milford Haven - Subtidal and intertidal
<li>North West Anglesey - Subtidal only
<li>West Pembrokeshire - Subtidal only

Three of the four areas also lie within marine candidate Special Areas of Conservation (cSACs); (Rocky reefs are major features of the cSACs.)  

Temporal Coverage: 
<li>Menai Strait: 01 to 05 August 2002 (subtidal) and 07 to 10 September 2002 (intertidal) 
<li>Daugleddau Estuary & Milford Haven: 30 August to 04 September 2002 (subtidal) and 07 to 09 October 2002 (intertidal) North West Anglesey: 24 to 27 June 2003 (subtidal) 
<li>West Pembrokeshire: 23 to 26 July 2003 (subtidal) 
 
Additional Information Sources: Kirsten Ramsey, Sub-tidal Team Leader, Marine and Freshwater Sciences Group, CCW, Maes-y-Ffynnon, Penrhosgarnedd, Bangor, Gwynedd LL57 2DW.",Natural Resources Wales,T,T,"Benthos , Ecology - biodiversity , Macroalgae , Fish","Algen , Fytobenthos , Macrobenthos , Zoöbenthos"
2194,"Specific diversity data of macrobenthic communities in the ""Pierre Noire"" study site in the English Channel from 1977 on","Houbin C, Thiebaut E, Hoebeke M (2019): Specific diversity data of macrobenthic communities in the ""Pierre Noire"" study site in the English Channel from 1977 on https://doi.org/10.21411/kfms-pq29",https://doi.org/10.21411/kfms-pq29,Attribution (CC BY),NA,"Monitoring of species richness, abundances of all macrobenthic species, biomass, sediment grain size, temperature and salinity","The experiment was designed to study long-term changes in communities strucutre in response to global change (climatic change) and local anthropogenis pressures (e.g. eutrophication). Fine sand macrobenthic communities are monitored two to five times a year at the ""Pierre Noire"" site. The different parameters wich are measured are (1) total and specific abundances, (2) specific richness",Nathalie Simon,T,T,Benthos,"Benthos , Data , Lange termijn monitoring , Marine Genomics"
2738,PANGAEA - Data from Global environmental change: the Northern North Atlantic,NA https://dx.doi.org/10.1594/PANGAEA.760905,https://dx.doi.org/10.1594/PANGAEA.760905,Attribution (CC BY),NA,"This dataset contains data from the DFG Research Project SFB313 ""Global Environmental Change: The Northern North Atlantic"". These data are derived from PANGAEA.","During the years 1985 to 1998 a special research project (SFB313) was carried out at the Christian Albrechts University, Kiel named ""Sedimentation im europäischen Nordmeer' (1985-1990)"", later renamed ""Veränderungen der Umwelt: Der nördliche Nordatlantik' (1990-1998, The Northern North Atlantic, a Changing Environment)"". Most of the data coming out from the SFB313 have been compiled, harmonized and archived in the PANGAEA information system. With the first volume of the ""WDC-MARE Reports"" a consistent collection of 1186 datasets with related metadata was exported from PANGAEA and is published on CD-ROM.",,T,T,"Benthos , Phytoplankton , Zooplankton",
